,Date,Year,Country_1,Country_2,Score_1,Score_2,Competition,Location,Elo_Score_Change_1,Elo_Score_Change_2,Elo_Score_New_1,Elo_Score_New_2,Rank_Change_1,Rank_Change_2,Rank_New_1,Rank_New_2
73,March 24,2018,Qatar,Syria,2,2,Friendly tournament,in Iraq,5,-5,1486,1604,1,-3,85,62
74,March 24,2018,Northern Ireland,South Korea,2,1,Friendly,in Northern Ireland,10,-10,1684,1750,0,-4,47,28
75,March 24,2018,Mauritania,Guinea,2,0,Friendly,in Mauritania,18,-18,1316,1455,5,-3,125,94
76,March 24,2018,Kosovo,Madagascar,1,0,Friendly,in France,10,-10,1381,1358,4,0,113,119
77,March 24,2018,Kenya,Comoros,2,2,Friendly,in Morocco,-8,8,1389,1047,-1,0,110,186
78,March 24,2018,Ivory Coast,Togo,2,2,Friendly,in France,-6,6,1599,1390,-2,2,65,109
79,March 24,2018,Israel,Romania,1,2,Friendly,in Israel,-8,8,1527,1696,-3,1,76,45
80,March 24,2018,Georgia,Lithuania,4,0,Friendly,in Georgia,10,-10,1494,1397,1,-3,84,108
81,March 24,2018,Canada,New Zealand,1,0,Friendly,in Spain,10,-10,1534,1515,3,-4,74,80
82,March 24,2018,Botswana,Lesotho,1,0,Friendly,in Botswana,8,-8,1261,1262,4,0,144,143
83,March 24,2018,Armenia,Estonia,0,0,Friendly,in Armenia,-2,2,1479,1516,0,1,86,79
84,March 24,2018,Angola,Zimbabwe,2,2,Friendly tournament,in Zambia,9,-9,1259,1468,5,-2,145,90
85,March 25,2018,Thailand,Slovakia,2,3,King's Cup,in Thailand,-6,6,1397,1762,-2,2,107,24
86,March 25,2018,Nicaragua,Cuba,3,3,Friendly,in Nicaragua,-2,2,1278,1298,1,0,137,131
87,March 25,2018,Martinique,Trinidad and Tobago,0,0,Friendly,in Martinique,-3,3,1423,1431,-1,-1,101,98
88,March 25,2018,Kuwait,Cameroon,1,3,Friendly,in Kuwait,-10,10,1417,1657,-3,2,102,49
89,March 25,2018,Jamaica,Antigua and Barbuda,1,1,Friendly,in Jamaica,-9,9,1561,1221,-1,2,68,158
90,March 25,2018,Gibraltar,Latvia,1,0,Friendly,in Gibraltar,15,-15,1094,1343,2,-2,177,121
91,March 25,2018,Gabon,United Arab Emirates,1,0,King's Cup,in Thailand,21,-21,1439,1532,5,-3,97,74
92,March 25,2018,Faroe Islands,Liechtenstein,3,0,Friendly,in Spain,11,-11,1294,1143,1,-1,135,172
